wine_id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
24,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6
25,5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6
26,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
27,7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
28,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
29,7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6
30,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
31,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
32,6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,6
33,5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,6
34,7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,5
35,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
36,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
37,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
38,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
39,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7
40,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
41,7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6
42,6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6
43,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
44,8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6
45,6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6
46,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
47,6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5
48,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
49,6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6
50,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
51,6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
52,7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6
53,9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6
54,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
55,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4
56,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8
57,7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5
58,6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8
59,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
60,6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6
61,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
62,6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
63,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
64,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
65,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3
66,6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,5
67,6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
68,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
69,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6
70,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
71,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333,5
72,5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5
73,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
74,5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7
75,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
76,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,5
77,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
78,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
79,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,7
80,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6
81,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5
82,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
83,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
84,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
85,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6
86,7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6
87,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
88,7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
89,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6
90,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
91,7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
92,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
93,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
94,6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6
95,7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6
96,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
97,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
98,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
99,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
100,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
101,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
102,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
103,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
104,5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7
105,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6
106,8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
107,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6
108,7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
109,6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
110,9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9
111,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
112,7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6
113,7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
114,9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
115,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
116,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
117,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,5
118,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
119,6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
120,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5
121,7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
122,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
123,7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7
124,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7
125,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
126,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
127,6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5
128,5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6
129,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
130,5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5
131,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
132,7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,6
133,6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6
134,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
135,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
136,6.8,0.23,0.33,1.9,0.047,20,101,0.9914,3.1,0.46,11.1,6
137,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7
138,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
139,6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6
140,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
141,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
142,6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7
143,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
144,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
145,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
146,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
147,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5
148,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
149,6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6
150,7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6
151,6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
152,7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6
153,6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,6
154,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7
155,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
156,6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
157,8.2,0.18,0.28,8.5,0.035,41,140,0.9952,3.04,0.37,10.1,7
158,6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
159,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5
160,6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
161,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
162,5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1,5
163,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
164,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
165,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
166,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
167,6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6
168,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6
169,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
170,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5
171,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6
172,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
173,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
174,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6
175,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
176,5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,7
177,6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6
178,6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
179,5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,5
180,8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6
181,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
182,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
183,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
184,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
185,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6
186,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
187,6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5
188,6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,7
189,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6
190,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
191,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
192,6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7
193,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
194,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333,6
195,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,6
196,6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6
197,6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
198,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7
199,6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
200,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8
201,7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8
202,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
203,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
204,7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5
205,6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,6
206,7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
207,7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,6
208,8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
209,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
210,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
211,5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6
212,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4,6
213,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
214,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
215,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
216,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
217,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
218,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7
219,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
220,6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7
221,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
222,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
223,6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,6
224,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
225,7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
226,7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8
227,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
228,7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,6
229,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
230,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
231,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
232,8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
233,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7
234,6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6
235,8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6
236,7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6
237,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7
238,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
239,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
240,7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
241,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
242,7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
243,5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
244,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6
245,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
246,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6
247,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
248,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7
249,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
250,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
251,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,7
252,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
253,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
254,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
255,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
256,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,6
257,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6
258,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
259,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7
260,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
261,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
262,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
263,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
264,6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
265,6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6
266,7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8
267,6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6
268,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5
269,7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
270,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
271,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
272,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
273,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6
274,7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,5
275,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
276,7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
277,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
278,8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6
279,7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
280,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,5
281,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
282,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
283,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
284,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
285,6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6
286,7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
287,8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
288,8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,6
289,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
290,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7
291,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,5
292,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6
293,7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7
294,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5
295,6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,6
296,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
297,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,6
298,6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,6
299,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
300,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
301,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6
302,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6
303,6.1,0.27,0.32,6.2,0.048,47,161,0.99281,3.22,0.6,11,6
304,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
305,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
306,7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
307,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
308,7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
309,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
310,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7
311,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6
312,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
